word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
			你好。		Hi.
			你用跑的。		Run.
			火啊！		Fire!
			待著。		Stay.
			且慢。		Stay.
			住手！		Stop!
			等等！		Wait!
			等一下！		Wait!
			开始！		Begin.
			開打。		Fight.
			我试试。		I try.
			我赢了。		I won!
			不会吧。		Oh no!
			知道了没有？		Got it?
			懂了吗？		Got it?
			你懂了吗？		Got it?
			他跑了。		He ran.
			跳进来。		Hop in.
			我知道。		I know.
			我退出。		I quit.
			我不干了。		I quit.
			我已经起来了。		I'm up.
			听着。		Listen.
			不可能！		No way!
			没门！		No way!
			真的？		Really?
			你确定？		Really?
			谢谢！		Thanks!
			试试吧。		Try it.
			我们来试试。		We try.
			为什么是我？		Why me?
			去问汤姆。		Ask Tom.
			好棒！		Awesome!
			太棒了		Awesome.
			冷静点。		Be calm.
			公平点。		Be fair.
			友善点。		Be kind.
			友好點。		Be kind.
			和气点。		Be nice.
			联系我。		Call me.
			联系我们。		Call us.
			进来。		Come in.
			进来		Come in.
			找到汤姆。		Get Tom.
			出去！		Get out!
			走開！		Go away!
			回家。		Go home.
			回家吧。		Go home.
			再见！		Goodbye!
			告辞！		Goodbye!
			坚持。		Hang on!
			他来了。		He came.
			他跑。		He runs.
			帮我一下。		Help me.
			帮帮我们吧！		Help us.
			去打汤姆。		Hit Tom.
			抱抱汤姆！		Hug Tom.
			请抱紧汤姆。		Hug Tom.
			我同意。		I agree.
			我觉得很热。		I'm hot.
			我生病了。		I'm ill.
			我很难过。		I'm sad.
			我很害羞。		I'm shy.
			没关系。		It's OK.
			是我。		It's me.
			来加入我们吧。		Join us.
			留着吧。		Keep it.
			吻我。		Kiss me.
			繼續前進。		Move on.
			完美！		Perfect!
			閉嘴！		Shut up!
			不管它。		Skip it.
			拿走吧。		Take it.
			告诉我！		Tell me.
			汤姆胜利了。		Tom won.
			醒醒！		Wake up!
			去清洗一下。		Wash up.
			我们知道。		We know.
			欢迎。		Welcome.
			谁赢了？		Who won?
			为什么不？		Why not?
			你跑。		You run.
			算你狠。		You win.
			往后退点。		Back off!
			后退！		Back off!
			静静的，别动。		Be still.
			我一无所知。		Beats me.
			把他铐上。		Cuff him.
			穿上衣服。		Dress up.
			往前开。		Drive on.
			趴下！		Get down!
			醒醒吧。		Get real.
			做得好！		Good job!
			干的好！		Good job!
			抓住汤姆。		Grab Tom.
			抓住他。		Grab him.
			玩得開心。		Have fun.
			他来试试。		He tries.
			多可爱啊！		How cute!
			真可爱！		How cute!
			你就随了我的意吧。		Humor me.
			快点！		Hurry up.
			快点。		Hurry up.
			我做到了！		I did it.
			我忘了。		I forgot.
			我放弃。		I resign.
			我回来了！		I'm back.
			我很忙。		I'm busy.
			我冷。		I'm cold.
			我很酷。		I'm cool.
			我很好。		I'm fine.
			我自由了！		I'm free!
			我吃飽了。		I'm full.
			我在家裡。		I'm home.
			我迷失了。		I'm lost.
			我病了。		I'm sick.
			我个子高。		I'm tall.
			让我一个人呆会儿。		Leave me.
			走吧。		Let's go!
			当心！		Look out!
			不可理喻		Nonsense!
			屁话！		Nonsense!
			她跑。		She runs.
			请坐。		Sit down.
			起立。		Stand up.
			很棒！		Terrific!
			他们赢了。		They won.
			汤姆去世了。		Tom died.
			汤姆说谎了。		Tom lied.
			汤姆输了。		Tom lost.
			汤姆不干了。		Tom quit.
			汤姆游泳了。		Tom swam.
			相信我。		Trust me.
			努力。		Try hard.
			试试这个。		Try this.
			请用这个。		Use this.
			看着我		Watch me.
			谁死了？		Who died?
			他是誰？		Who's he?
			我死了吗？		Am I dead?
			回答我。		Answer me.
			道歉。		Apologize.
			快點開始。		Begin now.
			立即開始。		Begin now.
			打电话回家！		Call home!
			狗会叫。		Dogs bark.
			别哭。		Don't cry.
			对不起。		Excuse me.
			来感受一下这个。		Feel this.
			请跟我来。		Follow me.
			跟我走。		Follow me.
			请跟着我们。		Follow us.
			算了。		Forget it.
			進到裡面去。		Go inside.
			祝你好运。		Good luck.
			晚安。		Goodnight.
			抓住那个。		Grab that.
			抓住这个。		Grab this.
			您好。		Greetings.
			别碰！		Hands off.
			他很忙。		He's busy.
			他很懒。		He's lazy.
			停火。		Hold fire.
			太可怕了。		How awful!
			真奇怪。		How weird!
			多怪啊！		How weird!
			我拍手。		I clapped.
			我了解你。		I get you.
			我希望如此。		I hope so.
			我笑了。		I laughed.
			我向你保证。		I promise.
			我害羞。		I was shy.
			我要游泳。		I'll swim.
			我是个男人。		I'm a man.
			我疯了。		I'm crazy.
			我是第一。		I'm first.
			我运气很好。		I'm lucky.
			我很清醒。		I'm sober.
			我很抱歉。		I'm sorry.
			我很累。		I'm tired.
			我還年輕。		I'm young.
			不放在眼裡。		Ignore it.
			是你吗？		Is it you?
			下了雨。		It rained.
			下雪了。		It snowed.
			现在是七点四十五分。		It's 7:45.
			天很冷。		It's cold.
			它是食物。		It's food.
			它是免費的。		It's free.
			很晚了。		It's late.
			是我的。		It's mine.
			這是真的。		It's true.
			放開我！		Let me go!
			让我进去。		Let me in.
			躺着不动。		Lie still.
			回头看！		Look back!
			腾一下地方。		Move over.
			当然哪！		Of course!
			当然是的。		Of course.
			当然了。		Of course.
			开火！		Open fire!
			念这个。		Read this.
			参见上文。		See above.
			认真的？		Seriously?
			她哭了。		She cried.
			她试过了。		She tried.
			她在行走。		She walks.
			耐心等着。		Sit tight.
			慢一點。		Slow down.
			馬上開始。		Start now.
